country,year,value,unit,sector,data_source
Austria,2000,220,persons (1),fp,oecd sustainable economies
Austria,2001,220,persons (1),fp,oecd sustainable economies
Austria,2002,220,persons (1),fp,oecd sustainable economies
Austria,2003,230,persons (1),fp,oecd sustainable economies
Austria,2004,240,persons (1),fp,oecd sustainable economies
Austria,2005,270,persons (1),fp,oecd sustainable economies
Austria,2006,270,persons (1),fp,oecd sustainable economies
Austria,2007,160,persons (1),fp,oecd sustainable economies
Austria,2008,140,persons (1),fp,oecd sustainable economies
Austria,2009,130,persons (1),fp,oecd sustainable economies
Austria,2010,130,persons (1),fp,oecd sustainable economies
Austria,2011,140,persons (1),fp,oecd sustainable economies
Austria,2012,130,persons (1),fp,oecd sustainable economies
Austria,2013,130,persons (1),fp,oecd sustainable economies
Austria,2014,130,persons (1),fp,oecd sustainable economies
Austria,2016,150,persons (1),fp,oecd sustainable economies
Austria,2017,150,persons (1),fp,oecd sustainable economies
Austria,2018,150,persons (1),fp,oecd sustainable economies
Austria,2019,150,persons (1),fp,oecd sustainable economies
Austria,2020,150,persons (1),fp,oecd sustainable economies
Canada,2000,32060.000000000004,persons (1),fp,oecd sustainable economies
Canada,2001,31030,persons (1),fp,oecd sustainable economies
Canada,2002,30770,persons (1),fp,oecd sustainable economies
Canada,2003,28090,persons (1),fp,oecd sustainable economies
Canada,2004,27390,persons (1),fp,oecd sustainable economies
Canada,2005,24160,persons (1),fp,oecd sustainable economies
Canada,2006,24620,persons (1),fp,oecd sustainable economies
Canada,2007,23780,persons (1),fp,oecd sustainable economies
Canada,2008,22410,persons (1),fp,oecd sustainable economies
Canada,2009,20130,persons (1),fp,oecd sustainable economies
Canada,2010,21070,persons (1),fp,oecd sustainable economies
Canada,2011,21370,persons (1),fp,oecd sustainable economies
Canada,2012,20520,persons (1),fp,oecd sustainable economies
Canada,2013,20090,persons (1),fp,oecd sustainable economies
Canada,2014,20600,persons (1),fp,oecd sustainable economies
Canada,2015,23140,persons (1),fp,oecd sustainable economies
Canada,2016,23130,persons (1),fp,oecd sustainable economies
Canada,2017,21830,persons (1),fp,oecd sustainable economies
Canada,2018,21600,persons (1),fp,oecd sustainable economies
Canada,2019,21430,persons (1),fp,oecd sustainable economies
Canada,2020,19720,persons (1),fp,oecd sustainable economies
Czech Republic,2000,130,persons (1),fp,oecd sustainable economies
Czech Republic,2001,130,persons (1),fp,oecd sustainable economies
Czech Republic,2002,130,persons (1),fp,oecd sustainable economies
Czech Republic,2003,130,persons (1),fp,oecd sustainable economies
Czech Republic,2004,130,persons (1),fp,oecd sustainable economies
Czech Republic,2005,130,persons (1),fp,oecd sustainable economies
Czech Republic,2006,130,persons (1),fp,oecd sustainable economies
Czech Republic,2007,130,persons (1),fp,oecd sustainable economies
Czech Republic,2008,130,persons (1),fp,oecd sustainable economies
Czech Republic,2009,140,persons (1),fp,oecd sustainable economies
Czech Republic,2010,140,persons (1),fp,oecd sustainable economies
Czech Republic,2011,140,persons (1),fp,oecd sustainable economies
Czech Republic,2012,140,persons (1),fp,oecd sustainable economies
Czech Republic,2013,140,persons (1),fp,oecd sustainable economies
Czech Republic,2014,140,persons (1),fp,oecd sustainable economies
Czech Republic,2015,150,persons (1),fp,oecd sustainable economies
Czech Republic,2016,170,persons (1),fp,oecd sustainable economies
Czech Republic,2017,170,persons (1),fp,oecd sustainable economies
Czech Republic,2018,190,persons (1),fp,oecd sustainable economies
Czech Republic,2019,200,persons (1),fp,oecd sustainable economies
Czech Republic,2020,200,persons (1),fp,oecd sustainable economies
Denmark,2000,6630,persons (1),fp,oecd sustainable economies
Denmark,2001,6630,persons (1),fp,oecd sustainable economies
Denmark,2002,6310,persons (1),fp,oecd sustainable economies
Denmark,2003,6020,persons (1),fp,oecd sustainable economies
Denmark,2004,5480,persons (1),fp,oecd sustainable economies
Denmark,2005,5210,persons (1),fp,oecd sustainable economies
Denmark,2006,5150,persons (1),fp,oecd sustainable economies
Denmark,2007,4830,persons (1),fp,oecd sustainable economies
Denmark,2008,4390,persons (1),fp,oecd sustainable economies
Denmark,2009,4250,persons (1),fp,oecd sustainable economies
Denmark,2010,3660,persons (1),fp,oecd sustainable economies
Denmark,2011,3760,persons (1),fp,oecd sustainable economies
Denmark,2012,3520,persons (1),fp,oecd sustainable economies
Denmark,2013,3500,persons (1),fp,oecd sustainable economies
Denmark,2014,3680,persons (1),fp,oecd sustainable economies
Denmark,2015,3640,persons (1),fp,oecd sustainable economies
Denmark,2016,3730,persons (1),fp,oecd sustainable economies
Denmark,2017,3610,persons (1),fp,oecd sustainable economies
Denmark,2018,3620,persons (1),fp,oecd sustainable economies
Denmark,2019,3420,persons (1),fp,oecd sustainable economies
Denmark,2020,3130,persons (1),fp,oecd sustainable economies
Finland,2000,1800,persons (1),fp,oecd sustainable economies
Finland,2001,1800,persons (1),fp,oecd sustainable economies
Finland,2002,1800,persons (1),fp,oecd sustainable economies
Finland,2003,1800,persons (1),fp,oecd sustainable economies
Finland,2004,1800,persons (1),fp,oecd sustainable economies
Finland,2005,1800,persons (1),fp,oecd sustainable economies
Finland,2006,1800,persons (1),fp,oecd sustainable economies
Finland,2007,1800,persons (1),fp,oecd sustainable economies
Finland,2008,1800,persons (1),fp,oecd sustainable economies
Finland,2009,1800,persons (1),fp,oecd sustainable economies
Finland,2010,1800,persons (1),fp,oecd sustainable economies
Finland,2011,1800,persons (1),fp,oecd sustainable economies
Finland,2012,1800,persons (1),fp,oecd sustainable economies
Finland,2013,1800,persons (1),fp,oecd sustainable economies
Finland,2014,1800,persons (1),fp,oecd sustainable economies
Finland,2015,1870,persons (1),fp,oecd sustainable economies
Finland,2016,1870,persons (1),fp,oecd sustainable economies
Finland,2017,1720,persons (1),fp,oecd sustainable economies
Finland,2018,1720,persons (1),fp,oecd sustainable economies
Finland,2019,1700,persons (1),fp,oecd sustainable economies
Finland,2020,1700,persons (1),fp,oecd sustainable economies
France,2000,15670,persons (1),fp,oecd sustainable economies
France,2001,15670,persons (1),fp,oecd sustainable economies
France,2002,15670,persons (1),fp,oecd sustainable economies
France,2003,15670,persons (1),fp,oecd sustainable economies
France,2004,15670,persons (1),fp,oecd sustainable economies
France,2005,15670,persons (1),fp,oecd sustainable economies
France,2006,15670,persons (1),fp,oecd sustainable economies
France,2007,15670,persons (1),fp,oecd sustainable economies
France,2008,15670,persons (1),fp,oecd sustainable economies
France,2009,15590,persons (1),fp,oecd sustainable economies
France,2010,15630,persons (1),fp,oecd sustainable economies
