"sciname","common","Resilience","SpecCode"
"Ablennes hians","Flat needlefish","Medium","972"
"Acanthistius brasilianus","Argentine seabass","Medium","351"
"Acanthocardia tuberculata","Tuberculate cockle",NA,NA
"Acanthocybium solandri","Wahoo","Medium","89"
"Acanthopagrus berda","Goldsilk seabream","Medium","5526"
"Acanthopagrus bifasciatus","Twobar seabream","Medium","4543"
"Acanthopagrus schlegelii","Blackhead seabream","Medium","6531"
"Acanthurus monroviae","Monrovia doctorfish","Medium","1800"
"Acetes japonicus","Akiami paste shrimp",NA,NA
"Achirus mazatlanus","Mazatlan sole","High","10429"
"Aequipecten opercularis","Queen scallop",NA,NA
"Aetobatus narinari","Spotted eagle ray","Very low","1250"
"Aetomylaeus maculatus","Mottled eagle ray","Low","12594"
"Aetomylaeus nichofii","Banded eagle ray",NA,"10120"
"Alectis alexandrina","Alexandria pompano","Medium","1888"
"Alectis indica","Indian threadfish","Medium","10"
"Alopias superciliosus","Bigeye thresher","Low","2534"
"Alopias vulpinus","Thresher","Low","2535"
"Alosa fallax","Twaite shad",NA,"5355"
"Alosa immaculata","Pontic shad","Medium","105"
"Alosa pseudoharengus","Alewife","Medium","1583"
"Alosa sapidissima","American shad","Low","1584"
"Amblygaster sirm","Spotted sardinella","High","1501"
"Ammodytes marinus","Lesser sand-eel",NA,"37"
"Ammodytes marinus","Lesser sand-eel","Medium","37"
"Ammodytes personatus","Pacific sandlance","High","487"
"Anadara tuberculosa","Pustulose ark",NA,NA
"Anarhichas denticulatus","Northern wolffish","Low","3810"
"Anarhichas lupus","Atlantic wolffish","Low","2501"
"Anarhichas minor","Spotted wolffish","Low","3811"
"Anchoa nasus","Longnose anchovy","High","1163"
"Anguilla anguilla","European eel",NA,"35"
"Anguilla anguilla","European eel","Low","35"
"Anodontostoma chacunda","Chacunda gizzard shad","High","1619"
"Anoplopoma fimbria","Sablefish","Very low","512"
"Aphanopus carbo","Black scabbardfish",NA,"646"
"Aphanopus carbo","Black scabbardfish","Low","646"
"Apostichopus japonicus","Japanese sea cucumber",NA,NA
"Aprion virescens","Green jobfish","Medium","84"
"Apsilus fuscus","African forktail snapper","Medium","86"
"Arca zebra","Turkey wing",NA,NA
"Archosargus probatocephalus","Sheepshead","Medium","441"
"Arctica islandica","Ocean quahog",NA,NA
"Arctoscopus japonicus","Japanese sandfish","Medium","463"
"Argentina silus","Greater argentine",NA,"2700"
"Argentina silus","Greater argentine","Low","2700"
"Argopecten gibbus","Calico scallop",NA,NA
"Argopecten irradians","Atlantic bay scallop",NA,NA
"Argopecten purpuratus","Peruvian calico scallop",NA,NA
"Argyrops spinifer","King soldier bream",NA,"442"
"Argyrosomus heinii","Arabian sea meagre","Medium","14392"
"Argyrosomus japonicus","Japanese meagre","Low","11979"
"Argyrosomus regius","Meagre","Low","418"
"Ariomma indicum","Indian driftfish","High","1300"
"Aristaeopsis edwardsiana","Scarlet shrimp",NA,NA
"Aristeus antennatus","Blue and red shrimp",NA,NA
"Aristeus varidens","Striped red shrimp",NA,NA
"Arripis trutta","Australian salmon","Medium","5048"
"Artemesia longinaris","Argentine stiletto shrimp",NA,NA
"Aspistor quadriscutis","Bressou sea catfish","Medium","956"
"Asterias rubens","Red starfish",NA,NA
"Atheresthes evermanni","Kamchatka flounder","Low","518"
"Atheresthes stomias","Arrowtooth flounder","Low","517"
"Atherina boyeri","Big-scale sand smelt","Medium","1696"
"Atrobucca nibe","Blackmouth croaker","Medium","941"
"Atule mate","Yellowtail scad","High","1893"
"Aulacomya atra","Chilean ribbed mussel",NA,NA
