"rgn_id","habitat","year","gap_fill"
3,"kelp",2021,"none"
4,"kelp",2021,"none"
5,"kelp",2021,"none"
14,"kelp",2021,"global value"
15,"kelp",2021,"global value"
16,"kelp",2021,"global value"
20,"kelp",2021,"global value"
21,"kelp",2021,"global value"
42,"kelp",2021,"none"
55,"kelp",2021,"none"
58,"kelp",2021,"none"
59,"kelp",2021,"global value"
62,"kelp",2021,"none"
63,"kelp",2021,"none"
68,"kelp",2021,"none"
69,"kelp",2021,"global value"
70,"kelp",2021,"global value"
73,"kelp",2021,"global value"
76,"kelp",2021,"global value"
80,"kelp",2021,"none"
84,"kelp",2021,"none"
88,"kelp",2021,"global value"
90,"kelp",2021,"global value"
91,"kelp",2021,"global value"
95,"kelp",2021,"global value"
101,"kelp",2021,"none"
102,"kelp",2021,"global value"
135,"kelp",2021,"none"
137,"kelp",2021,"global value"
138,"kelp",2021,"global value"
141,"kelp",2021,"global value"
143,"kelp",2021,"global value"
144,"kelp",2021,"global value"
145,"kelp",2021,"global value"
147,"kelp",2021,"none"
155,"kelp",2021,"none"
162,"kelp",2021,"none"
163,"kelp",2021,"global value"
171,"kelp",2021,"global value"
172,"kelp",2021,"global value"
173,"kelp",2021,"global value"
174,"kelp",2021,"global value"
175,"kelp",2021,"global value"
176,"kelp",2021,"global value"
177,"kelp",2021,"global value"
178,"kelp",2021,"global value"
179,"kelp",2021,"none"
180,"kelp",2021,"global value"
181,"kelp",2021,"global value"
182,"kelp",2021,"none"
183,"kelp",2021,"none"
184,"kelp",2021,"none"
188,"kelp",2021,"none"
189,"kelp",2021,"global value"
209,"kelp",2021,"global value"
210,"kelp",2021,"global value"
218,"kelp",2021,"none"
222,"kelp",2021,"global value"
223,"kelp",2021,"global value"
224,"kelp",2021,"global value"
227,"kelp",2021,"global value"
228,"kelp",2021,"global value"
