country,year,value,unit,sector,data_source
Afghanistan,1976,0,USD (1),aqf,FAO global trade
Afghanistan,1977,0,USD (1),aqf,FAO global trade
Afghanistan,1978,0,USD (1),aqf,FAO global trade
Afghanistan,1979,0,USD (1),aqf,FAO global trade
Afghanistan,1980,0,USD (1),aqf,FAO global trade
Afghanistan,1981,0,USD (1),aqf,FAO global trade
Afghanistan,1982,0,USD (1),aqf,FAO global trade
Afghanistan,1983,0,USD (1),aqf,FAO global trade
Afghanistan,1984,0,USD (1),aqf,FAO global trade
Afghanistan,1985,0,USD (1),aqf,FAO global trade
Afghanistan,1986,0,USD (1),aqf,FAO global trade
Afghanistan,1987,0,USD (1),aqf,FAO global trade
Afghanistan,1988,0,USD (1),aqf,FAO global trade
Afghanistan,1989,0,USD (1),aqf,FAO global trade
Afghanistan,1990,0,USD (1),aqf,FAO global trade
Afghanistan,1991,0,USD (1),aqf,FAO global trade
Afghanistan,1992,0,USD (1),aqf,FAO global trade
Afghanistan,1993,0,USD (1),aqf,FAO global trade
Afghanistan,1994,0,USD (1),aqf,FAO global trade
Afghanistan,1995,0,USD (1),aqf,FAO global trade
Afghanistan,1996,0,USD (1),aqf,FAO global trade
Afghanistan,1997,0,USD (1),aqf,FAO global trade
Afghanistan,1998,0,USD (1),aqf,FAO global trade
Afghanistan,1999,0,USD (1),aqf,FAO global trade
Afghanistan,2000,0,USD (1),aqf,FAO global trade
Afghanistan,2001,0,USD (1),aqf,FAO global trade
Afghanistan,2002,0,USD (1),aqf,FAO global trade
Afghanistan,2003,0,USD (1),aqf,FAO global trade
Afghanistan,2004,0,USD (1),aqf,FAO global trade
Afghanistan,2005,0,USD (1),aqf,FAO global trade
Afghanistan,2006,0,USD (1),aqf,FAO global trade
Afghanistan,2007,0,USD (1),aqf,FAO global trade
Afghanistan,2008,0,USD (1),aqf,FAO global trade
Afghanistan,2009,0,USD (1),aqf,FAO global trade
Afghanistan,2010,0,USD (1),aqf,FAO global trade
Afghanistan,2011,0,USD (1),aqf,FAO global trade
Afghanistan,2012,0,USD (1),aqf,FAO global trade
Afghanistan,2013,0,USD (1),aqf,FAO global trade
Afghanistan,2014,0,USD (1),aqf,FAO global trade
Afghanistan,2015,0,USD (1),aqf,FAO global trade
Afghanistan,2016,0,USD (1),aqf,FAO global trade
Afghanistan,2017,0,USD (1),aqf,FAO global trade
Afghanistan,2018,0,USD (1),aqf,FAO global trade
Afghanistan,2019,0,USD (1),aqf,FAO global trade
