"rgn_id","taxa_code","sust_coeff"
5,"Blue shrimp_1","georegion_family_avg"
5,"Pacific cupped oyster_2","family_avg"
5,"Snappers nei_3","taxon_group_avg"
6,"Blue shrimp_4","region_family_avg"
6,"Whiteleg shrimp_5","global_species"
7,"Elkhorn sea moss_6","family_avg"
7,"Giant tiger prawn_7","global_species"
8,"Bear paw clam_8","family_avg"
8,"Crocus giant clam_9","family_avg"
8,"Elongate giant clam_10","family_avg"
8,"Fluted giant clam_11","family_avg"
8,"Giant clam_12","family_avg"
8,"Milkfish_13","taxon_group_avg"
8,"Penaeus shrimps nei_14","family_avg"
8,"Smooth giant clam_15","family_avg"
9,"Eucheuma seaweeds nei_16","family_avg"
10,"Milkfish_17","taxon_group_avg"
11,"Sixfinger threadfin_18","taxon_group_avg"
13,"Banana prawn_19","region_family_avg"
13,"Milkfish_20","taxon_group_avg"
13,"Mullets nei_21","taxon_group_avg"
13,"Whiteleg shrimp_22","global_species"
14,"Abalones nei_23","global_species"
14,"Abalones nei_24","global_species"
14,"Amberjacks nei_25","region_family_avg"
14,"Amberjacks nei_26","region_family_avg"
14,"Barramundi(=Giant seaperch)_27","global_species"
14,"Barramundi(=Giant seaperch)_28","global_species"
14,"Blackhead seabream_29","family_avg"
14,"Blackhead seabream_30","family_avg"
14,"Blood cockle_31","global_species"
14,"Blue swimming crab_32","global_avg"
14,"Clams, etc. nei_33","global_species"
14,"Clams, etc. nei_34","global_species"
14,"Cobia_35","global_species"
14,"Cobia_36","global_species"
14,"Croakers, drums nei_37","family_avg"
14,"Flathead grey mullet_38","taxon_group_avg"
14,"Fourfinger threadfin_39","taxon_group_avg"
14,"Giant tiger prawn_40","global_species"
14,"Greasyback shrimp_41","region_family_avg"
14,"Greater amberjack_42","global_species"
14,"Groupers nei_43","taxon_group_avg"
14,"Groupers nei_44","taxon_group_avg"
14,"Indo-Pacific swamp crab_45","global_avg"
14,"Japanese carpet shell_46","region_family_avg"
14,"Japanese carpet shell_47","region_family_avg"
14,"Japanese eel_48","none"
14,"Japanese hard clam_49","region_family_avg"
14,"Japanese hard clam_50","region_family_avg"
14,"Japanese spiny lobster_51","global_avg"
14,"Kuruma prawn_52","region_family_avg"
14,"Kuruma prawn_53","region_family_avg"
14,"Laver (Nori)_54","region_family_avg"
14,"Marine crabs nei_55","global_avg"
14,"Marine fishes nei_56","taxon_group_avg"
14,"Marine fishes nei_57","taxon_group_avg"
14,"Marine molluscs nei_58","taxon_group_avg"
14,"Marine molluscs nei_59","taxon_group_avg"
14,"Mi-iuy (brown) croaker_60","family_avg"
14,"Milkfish_61","taxon_group_avg"
14,"Natantian decapods nei_62","global_avg"
14,"Pacific cupped oyster_63","georegion_family_avg"
14,"Porgies, seabreams nei_64","family_avg"
14,"Porgies, seabreams nei_65","family_avg"
14,"Redtail prawn_66","region_family_avg"
14,"Seabasses nei_67","taxon_group_avg"
14,"Seaweeds nei_68","global_species"
14,"Snappers, jobfishes nei_69","taxon_group_avg"
14,"Snappers, jobfishes nei_70","taxon_group_avg"
14,"Trumpet emperor_71","taxon_group_avg"
14,"Warty gracilaria_72","region_family_avg"
14,"Warty gracilaria_73","region_family_avg"
14,"Whiteleg shrimp_74","global_species"
15,"Banana prawn_75","region_family_avg"
15,"Barramundi(=Giant seaperch)_76","global_species"
15,"Caulerpa seaweeds_77","family_avg"
15,"Cupped oysters nei_78","global_species"
15,"Elkhorn sea moss_79","family_avg"
15,"Flathead lobster_80","global_avg"
15,"Giant tiger prawn_81","global_species"
15,"Giant tiger prawn_82","global_species"
15,"Gracilaria seaweeds_83","family_avg"
15,"Green mussel_84","georegion_family_avg"
15,"Groupers, seabasses nei_85","taxon_group_avg"
15,"Groupers, seabasses nei_86","taxon_group_avg"
15,"Indo-Pacific swamp crab_87","global_avg"
15,"Indo-Pacific swamp crab_88","global_avg"
15,"Jacks, crevalles nei_89","region_family_avg"
15,"Marine fishes nei_90","taxon_group_avg"
15,"Marine fishes nei_91","taxon_group_avg"
15,"Metapenaeus shrimps nei_92","region_family_avg"
15,"Metapenaeus shrimps nei_93","taxon_group_avg"
15,"Milkfish_94","taxon_group_avg"
15,"Milkfish_95","taxon_group_avg"
15,"Scats_96","taxon_group_avg"
15,"Snappers nei_97","taxon_group_avg"
15,"Snubnose pompano_98","global_species"
15,"Spiny eucheuma_99","family_avg"
15,"Tropical spiny lobsters nei_100","global_avg"
15,"Whiteleg shrimp_101","global_species"
16,"Abalones nei_102","global_species"
16,"Atlantic salmon_103","global_species"
16,"Australian mussel_104","taxon_group_avg"
16,"Barramundi(=Giant seaperch)_106","global_species"
16,"Barramundi(=Giant seaperch)_107","global_species"
16,"Brine shrimp_109","taxon_group_avg"
16,"Brown tiger prawn_110","region_family_avg"
16,"Cupped oysters nei_111","global_species"
16,"Cupped oysters nei_112","global_species"
16,"Eastern school shrimp_113","region_family_avg"
16,"Finfishes nei_114","taxon_group_avg"
16,"Flat and cupped oysters nei_115","region_family_avg"
16,"Flat and cupped oysters nei_116","region_family_avg"
16,"Giant tiger prawn_117","global_species"
16,"Kuruma prawn_119","region_family_avg"
16,"Marine fishes nei_120","taxon_group_avg"
16,"Pacific cupped oyster_121","region_family_avg"
