"product","commodity"
"ornamentals","Ornamental saltwater fish"
"ornamentals","Ornamental fish nei"
"fish_oil","Lepidotrigla brachyoptera"
"fish_oil","Etmopterus spinax"
"fish_oil","Pomacanthidae"
"fish_oil","Labridae"
"fish_oil","Tautogolabrus adspersus"
"fish_oil","Champsocephalus esox"
"fish_oil","Trachichthyidae"
"fish_oil","Platycephalidae"
"fish_oil","Holocentridae"
"fish_oil","Tripterophycis gilchristi"
"fish_oil","Aplodactylus punctatus"
"fish_oil","Blicca bjoerkna"
"fish_oil","Alepes djedaba"
"fish_oil","Batrachoididae"
"fish_oil","Lutjanus vitta"
"fish_oil","Scorpaenidae"
"fish_oil","Boreogadus saida"
"fish_oil","Trisopterus minutus"
"fish_oil","Barbourisia rufa"
"fish_oil","Mullidae"
"fish_oil","Pelates quadrilineatus"
"fish_oil","Centrolabrus exoletus"
"fish_oil","Percarina demidoffi"
"fish_oil","Caproidae"
"fish_oil","Archosargus rhomboidalis"
"fish_oil","Lepidorhombus boscii"
"fish_oil","Harengula thrissina"
"fish_oil","Liza saliens"
"fish_oil","Ariomma indica"
"fish_oil","Spicara smaris"
"fish_oil","Citharidae"
"fish_oil","Clupea pallasii"
"fish_oil","Hemiramphus balao"
"fish_oil","Gymnocephalus cernuus"
"fish_oil","Diplodus annularis"
"fish_oil","Mugil incilis"
"fish_oil","Grammoplites suppositus"
"fish_oil","Acanthurus sohal"
"fish_oil","Petromyzontidae"
"fish_oil","Ctenolabrus rupestris"
"fish_oil","Macroramphosus scolopax"
"fish_oil","Nemipterus randalli"
"fish_oil","Acanthuridae"
"fish_oil","Diplodus argenteus"
"fish_oil","Channichthys rhinoceratus"
"fish_oil","Centriscops humerosus"
"fish_oil","Symphodus melops"
"fish_oil","Coelorinchus chilensis"
"fish_oil","Isopisthus parvipinnis"
"fish_oil","Bothidae"
"fish_oil","Uranoscopus scaber"
"fish_oil","Decapterus spp"
"fish_oil","Sillago sihama"
"fish_oil","Cyttus novaezealandiae"
"fish_oil","Rioraja agassizi"
"fish_oil","Cephalopholis fulva"
"fish_oil","Lepidoperca pulchella"
"fish_oil","Soleidae"
"fish_oil","Crenidens crenidens"
"fish_oil","Xyrichtys novacula"
"fish_oil","Stromateidae"
"fish_oil","Pterygotrigla picta"
"fish_oil","Clupeoidei"
"fish_oil","Citharichthys sordidus"
"fish_oil","Lile stolifera"
"fish_oil","Aphia minuta"
"fish_oil","Nematalosa nasus"
"fish_oil","Bothus pantherinus"
"fish_oil","Ostraciidae"
"fish_oil","Trachinidae"
"fish_oil","Conodon nobilis"
"fish_oil","Priacanthus macracanthus"
"fish_oil","Selar crumenophthalmus"
"fish_oil","Mulloidichthys flavolineatus"
"fish_oil","Oblada melanura"
"fish_oil","Larimus breviceps"
"fish_oil","Gerres oblongus"
"fish_oil","Exocoetidae"
"fish_oil","Mugil curema"
"fish_oil","Cephalopholis hemistiktos"
"fish_oil","Serranus cabrilla"
"fish_oil","Apogonidae"
