"rgn_id","rgn_name","product","year","tonnes","usd","tonnes_orig","usd_orig"
6,"Vanuatu","corals",1998,25,34,25,34
6,"Vanuatu","corals",1999,36.5,44,48,54
6,"Vanuatu","corals",2000,24.3333333333333,29.3333333333333,0,0
6,"Vanuatu","corals",2001,25.5,46.75,29,99
6,"Vanuatu","corals",2002,34,52.5,59,57
6,"Vanuatu","corals",2003,37.75,93.75,63,219
6,"Vanuatu","corals",2004,46.75,104,36,41
6,"Vanuatu","corals",2005,47.5,83,32,15
6,"Vanuatu","corals",2006,32.75,68.75,0,0
6,"Vanuatu","corals",2007,17,14,0,0
6,"Vanuatu","corals",2008,8,3.75,0,0
6,"Vanuatu","corals",2009,0,0,0,0
6,"Vanuatu","corals",2010,0,0,0,0
6,"Vanuatu","corals",2011,0,0,0,0
6,"Vanuatu","corals",2012,4.75,7,19,28
6,"Vanuatu","corals",2013,4.75,7,0,0
6,"Vanuatu","corals",2014,15.75,11,44,16
6,"Vanuatu","corals",2015,24,33,33,88
6,"Vanuatu","corals",2016,28.25,48.25,36,89
6,"Vanuatu","corals",2017,37.25,70.5,36,89
7,"Solomon Islands","corals",1998,391,1007,391,1007
7,"Solomon Islands","corals",1999,314.5,908.5,238,810
7,"Solomon Islands","corals",2000,266,819.666666666667,169,642
7,"Solomon Islands","corals",2001,235.25,818,143,813
7,"Solomon Islands","corals",2002,204,722.25,266,624
7,"Solomon Islands","corals",2003,181,651.25,146,526
7,"Solomon Islands","corals",2004,192.25,712.25,214,886
7,"Solomon Islands","corals",2005,227,745.5,282,946
7,"Solomon Islands","corals",2006,255,789.25,378,799
7,"Solomon Islands","corals",2007,317.75,831.75,397,696
7,"Solomon Islands","corals",2008,339.25,810.25,300,800
7,"Solomon Islands","corals",2009,338.75,786.25,280,850
7,"Solomon Islands","corals",2010,303.75,770,238,734
7,"Solomon Islands","corals",2011,294,644.75,358,195
7,"Solomon Islands","corals",2012,252.75,590.75,135,584
7,"Solomon Islands","corals",2013,222,542.25,157,656
7,"Solomon Islands","corals",2014,203.75,516,165,629
7,"Solomon Islands","corals",2015,123,507.5,35,161
7,"Solomon Islands","corals",2016,89.25,361.5,0,0
7,"Solomon Islands","corals",2017,50,197.5,0,0
8,"Palau","corals",1998,50,195,50,195
8,"Palau","corals",1999,44,99.5,38,4
8,"Palau","corals",2000,36,67.3333333333333,20,3
8,"Palau","corals",2001,27,50.5,0,0
8,"Palau","corals",2002,14.5,1.75,0,0
8,"Palau","corals",2003,8.57143428813822,1.5,14.2857371525529,3
8,"Palau","corals",2004,3.57143428813822,0.75,0,0
8,"Palau","corals",2005,17.3214342881382,61,55,241
8,"Palau","corals",2006,20.8214342881382,63,14,8
8,"Palau","corals",2007,17.5,65.5,1,13
8,"Palau","corals",2008,41.5,79,96,54
8,"Palau","corals",2009,27.75,18.75,0,0
8,"Palau","corals",2010,26.7631425405465,17.75,10.0525701621859,4
8,"Palau","corals",2011,34.5131425405465,25.25,32,43
8,"Palau","corals",2012,10.5131425405465,11.75,0,0
8,"Palau","corals",2013,12.5566616293201,12.75,8.17407635509448,4
8,"Palau","corals",2014,10.0435190887736,11.75,0,0
8,"Palau","corals",2015,2.04351908877362,1,0,0
8,"Palau","corals",2016,2.04351908877362,1,0,0
8,"Palau","corals",2017,0,0,0,0
9,"Micronesia","corals",1998,26,129,26,129
9,"Micronesia","corals",1999,35,151,44,173
9,"Micronesia","corals",2000,28.6666666666667,115.333333333333,16,44
9,"Micronesia","corals",2001,21.5,86.5,0,0
