"rgn_id","rgn_type","type_w_ant","rgn_ant_id","rgn_name","mean","year"
1,"eez","eez",1,"Cocos Islands",NA,"2012"
2,"eez","eez",2,"Christmas Island",NA,"2012"
3,"eez","eez",3,"Norfolk Island",NA,"2012"
4,"eez","eez",4,"Macquarie Island",NA,"2012"
5,"eez","eez",5,"New Caledonia",0.000941652722997908,"2012"
6,"eez","eez",6,"Vanuatu",0.00193678970084577,"2012"
7,"eez","eez",7,"Solomon Islands",0.00038664670762093,"2012"
8,"eez","eez",8,"Palau",4.85151634422658e-05,"2012"
9,"eez","eez",9,"Micronesia",0.00166688502618469,"2012"
10,"eez","eez",10,"Nauru",2.92695723121444e-06,"2012"
11,"eez","eez",11,"Marshall Islands",NA,"2012"
12,"eez","eez",12,"Wake Island",NA,"2012"
13,"eez","eez",13,"Northern Mariana Islands and Guam",0.000135284136783485,"2012"
14,"eez","eez",14,"Taiwan",0.0509693846534123,"2012"
15,"eez","eez",15,"Philippines",0.0157326855324721,"2012"
16,"eez","eez",16,"Australia",0.0131699849636841,"2012"
17,"eez","eez",17,"Papua New Guinea",0.00246701529546585,"2012"
18,"eez","eez",18,"Fiji",0.0103691135811611,"2012"
19,"eez","eez",19,"Tuvalu",NA,"2012"
20,"eez","eez",20,"South Korea",0.0342919136792142,"2012"
21,"eez","eez",21,"North Korea",0.0550598673448559,"2012"
24,"eez","eez",24,"Cambodia",0.0049538539881947,"2012"
25,"eez","eez",25,"Thailand",0.0288548005376583,"2012"
26,"eez","eez",26,"Andaman and Nicobar",0.00070924132706097,"2012"
28,"eez","eez",28,"Comoro Islands",0.000400914510465806,"2012"
29,"eez","eez",29,"Mayotte",0.0112085913943432,"2012"
30,"eez","eez",30,"Glorioso Islands",NA,"2012"
31,"eez","eez",31,"Seychelles",0.0122297188983465,"2012"
32,"eez","eez",32,"Reunion",NA,"2012"
33,"eez","eez",33,"Juan de Nova Island",NA,"2012"
34,"eez","eez",34,"Bassas da India",NA,"2012"
35,"eez","eez",35,"Ile Europa",NA,"2012"
36,"eez","eez",36,"Ile Tromelin",NA,"2012"
37,"eez","eez",37,"Mauritius",NA,"2012"
38,"eez","eez",38,"British Indian Ocean Territory",NA,"2012"
39,"eez","eez",39,"Maldives",NA,"2012"
40,"eez","eez",40,"Sri Lanka",0.02595151763585,"2012"
41,"eez","eez",41,"Mozambique",0.0461424639799752,"2012"
42,"eez","eez",42,"Madagascar",0.0328356173855644,"2012"
43,"eez","eez",43,"Kenya",0.0959516787069347,"2012"
44,"eez","eez",44,"Somalia",0.0152919618785335,"2012"
45,"eez","eez",45,"Eritrea",0.00208704910040513,"2012"
46,"eez","eez",46,"Djibouti",0.00282646033390752,"2012"
47,"eez","eez",47,"Yemen",0.0102025995131166,"2012"
48,"eez","eez",48,"Oman",0.00273841277287279,"2012"
49,"eez","eez",49,"Sudan",0.0127853674534005,"2012"
50,"eez","eez",50,"Saudi Arabia",0.00404692727305341,"2012"
51,"eez","eez",51,"Kuwait",0.00873999886134084,"2012"
52,"eez","eez",52,"Bahrain",0.000856617477397776,"2012"
53,"eez","eez",53,"Pakistan",0.0533750743120549,"2012"
54,"eez","eez",54,"United Arab Emirates",0.00576034173646459,"2012"
55,"eez","eez",55,"Azores",NA,"2012"
56,"eez","eez",56,"Cape Verde",NA,"2012"
57,"eez","eez",57,"Madeira",0.00208457945363991,"2012"
58,"eez","eez",58,"Canary Islands",0.00121018156901126,"2012"
59,"eez","eez",59,"Belgium",0.0627039412284236,"2012"
60,"eez","eez",60,"Gibraltar",0.00308670110651024,"2012"
61,"eez","eez",61,"Tunisia",0.0283073457525941,"2012"
62,"eez","eez",62,"Morocco",0.0720308436684878,"2012"
63,"eez","eez",63,"Western Sahara",0.00276889596887394,"2012"
64,"eez","eez",64,"Mauritania",0.0188214411601787,"2012"
65,"eez","eez",65,"Gambia",0.155843657811426,"2012"
66,"eez","eez",66,"Senegal",0.0996009553185099,"2012"
67,"eez","eez",67,"Libya",0.00595208282173482,"2012"
68,"eez","eez",68,"Malta",0.000270520908856491,"2012"
69,"eez","eez",69,"Latvia",0.0530000635049034,"2012"
70,"eez","eez",70,"Estonia",0.0116075116023331,"2012"
71,"eez","eez",71,"Bulgaria",0.0343346682922385,"2012"
72,"eez","eez",72,"Romania",0.0732375570618665,"2012"
73,"eez","eez",73,"Russia",0.00837481008053238,"2012"
74,"eez","eez",74,"Georgia",0.0548807606652967,"2012"
75,"eez","eez",75,"Ukraine",0.0596894470379306,"2012"
76,"eez","eez",76,"Turkey",0.0405011336150649,"2012"
77,"eez","eez",77,"Syria",0.0190243981641975,"2012"
78,"eez","eez",78,"Lebanon",0.0520793404243312,"2012"
79,"eez","eez",79,"Israel",0.0362292078548539,"2012"
80,"eez","eez",80,"Greece",0.0188111980597387,"2012"
81,"eez","eez",81,"Cyprus",0.00512468977371249,"2012"
82,"eez","eez",82,"Albania",0.0834128192166543,"2012"
84,"eez","eez",84,"Algeria",0.0505852361898266,"2012"
85,"eez","eez",85,"Ascension",NA,"2012"
86,"eez","eez",86,"Saint Helena",NA,"2012"
88,"eez","eez",88,"Tristan da Cunha",NA,"2012"
89,"eez","eez",89,"South Georgia and the South Sandwich Islands",NA,"2012"
90,"eez","eez",90,"Prince Edward Islands",NA,"2012"
91,"eez","eez",91,"Crozet Islands",NA,"2012"
92,"eez","eez",92,"Amsterdam Island and Saint Paul Island",NA,"2012"
93,"eez","eez",93,"Kerguelen Islands",NA,"2012"
94,"eez","eez",94,"Heard and McDonald Islands",NA,"2012"
95,"eez","eez",95,"Falkland Islands",0.00127174664559605,"2012"
96,"eez","eez",96,"Sierra Leone",0.144816517980818,"2012"
97,"eez","eez",97,"Liberia",0.0829694118740976,"2012"
98,"eez","eez",98,"Togo",0.154927723869092,"2012"
99,"eez","eez",99,"Benin",0.255411012542761,"2012"
100,"eez","eez",100,"Republique du Congo",0.0116284809792392,"2012"
101,"eez","eez",101,"Namibia",0.0155860321332018,"2012"
102,"eez","eez",102,"South Africa",0.0309699418310532,"2012"
103,"eez","eez",103,"Sao Tome and Principe",0.00445941966369578,"2012"
104,"eez","eez",104,"Equatorial Guinea",0.00517720942647666,"2012"
105,"eez","eez",105,"Bouvet Island",NA,"2012"
106,"eez","eez",106,"Ghana",0.146700891852121,"2012"
107,"eez","eez",107,"Clipperton Island",NA,"2012"
108,"eez","eez",108,"Bermuda",NA,"2012"
110,"eez","eez",110,"Bahamas",0.000555831527922426,"2012"
111,"eez","eez",111,"Turks and Caicos Islands",1.92584996885001e-06,"2012"
112,"eez","eez",112,"Cuba",0.0139659134365011,"2012"
113,"eez","eez",113,"Cayman Islands",5.14345371691964e-08,"2012"
114,"eez","eez",114,"Haiti",0.0356330384542321,"2012"
115,"eez","eez",115,"Dominican Republic",0.100012110355593,"2012"
116,"eez","eez",116,"Puerto Rico and Virgin Islands of the United States",0.0119018476568927,"2012"
117,"eez","eez",117,"British Virgin Islands",2.94495185742179e-06,"2012"
118,"eez","eez",118,"Anguilla",NA,"2012"
119,"eez","eez",119,"Saint Kitts and Nevis",3.65069977952472e-05,"2012"
120,"eez","eez",120,"Antigua and Barbuda",0.00166332845749932,"2012"
121,"eez","eez",121,"Montserrat",6.72033107205746e-06,"2012"
122,"eez","eez",122,"Saint Lucia",0.00479732049855518,"2012"
123,"eez","eez",123,"Dominica",0.00168791095320661,"2012"
124,"eez","eez",124,"Barbados",0.00635395829651196,"2012"
125,"eez","eez",125,"Grenada",1.28967439208647e-05,"2012"
126,"eez","eez",126,"Trinidad and Tobago",0.0111762507380449,"2012"
127,"eez","eez",127,"Saint Vincent and the Grenadines",0.00122305113354911,"2012"
129,"eez","eez",129,"Panama",0.014131758587976,"2012"
130,"eez","eez",130,"Costa Rica",0.0564843297989131,"2012"
131,"eez","eez",131,"Nicaragua",0.0544619290719585,"2012"
132,"eez","eez",132,"Colombia",0.048081543225542,"2012"
133,"eez","eez",133,"Honduras",0.0847649318853645,"2012"
134,"eez","eez",134,"El Salvador",0.113361059176528,"2012"
135,"eez","eez",135,"Mexico",0.0311021349797767,"2012"
136,"eez","eez",136,"Guatemala",0.217082884938451,"2012"
137,"eez","eez",137,"Ecuador",0.0370745778772231,"2012"
138,"eez","eez",138,"Peru",0.031958149919499,"2012"
139,"eez","eez",139,"Venezuela",0.0425255207201543,"2012"
140,"eez","eez",140,"Guadeloupe and Martinique",0.00113429815570746,"2012"
141,"eez","eez",141,"Faeroe Islands",0.000579164391934536,"2012"
143,"eez","eez",143,"Iceland",0.0026096774446098,"2012"
144,"eez","eez",144,"Jan Mayen",NA,"2012"
145,"eez","eez",145,"Greenland",1.30537188810414e-05,"2012"
146,"eez","eez",146,"Pitcairn",NA,"2012"
147,"eez","eez",147,"French Polynesia",NA,"2012"
148,"eez","eez",148,"Line Islands (Kiribati)",NA,"2012"
149,"eez","eez",149,"Jarvis Island",NA,"2012"
150,"eez","eez",150,"Palmyra Atoll",NA,"2012"
151,"eez","eez",151,"American Samoa",NA,"2012"
152,"eez","eez",152,"Samoa",NA,"2012"
153,"eez","eez",153,"Cook Islands",NA,"2012"
154,"eez","eez",154,"Niue",NA,"2012"
155,"eez","eez",155,"Tonga",NA,"2012"
156,"eez","eez",156,"Tokelau",NA,"2012"
157,"eez","eez",157,"Phoenix Islands (Kiribati)",NA,"2012"
158,"eez","eez",158,"Howland Island and Baker Island",NA,"2012"
159,"eez","eez",159,"Johnston Atoll",NA,"2012"
161,"eez","eez",161,"Wallis and Futuna",NA,"2012"
162,"eez","eez",162,"New Zealand",0.0521928072561976,"2012"
163,"eez","eez",163,"United States",0.0240682965106408,"2012"
164,"eez","eez",164,"Belize",0.0106098228514099,"2012"
