"rgn_id","trend"
1,0
2,0
3,0
4,0
5,0.0328
6,0
7,-0.0018
8,0
9,0
10,0
11,0
12,0
13,0
14,-0.0444
15,0.001
16,0.0764
17,-0.0221
18,0.0189
19,0
20,0.0133
21,0.0352
24,-0.0014
25,0.0014
26,0.0091
28,0
29,0
30,0
31,2e-04
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,-0.1754
41,0
42,0
43,1e-04
44,0
45,0
46,0
47,0.0172
48,0.0388
49,-0.0085
50,0.0966
51,0.1098
52,0.0359
53,-0.0201
54,-0.1184
55,0
56,0
57,0
58,0.0333
59,0.0328
60,0.0814
61,-0.0231
62,0.0034
63,0
64,0
65,0
66,0
67,-0.0032
68,0.2634
69,0.0892
70,0.1914
71,0.0046
72,0.0276
73,0.0081
74,0.0046
75,0.0224
76,0.0051
77,-0.1604
78,0.0169
79,0.1122
80,0.0157
81,0.0037
82,0.0021
84,0.0154
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,2e-04
105,0
106,1e-04
107,0
108,0
110,0.2788
111,0
112,0.1152
113,0
114,-0.0021
115,-0.0056
116,0
117,0
118,0
119,-0.8869
120,0.0083
121,0
122,0.0346
123,0.0551
124,0.1281
125,0
126,0.0178
127,0
129,0.0534
130,0.1513
131,0.0021
132,0.0041
133,0.0053
134,0.0106
135,0.1102
136,0.0452
137,0.0133
138,0.0078
139,-0.013
140,0
141,0
143,0.1104
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0
162,0.0347
163,0.0471
164,0.4412
166,0.0131
167,0.1398
168,0.0042
169,0
171,0.051
172,0.0429
173,0.029
174,-0.0993
175,-0.0125
176,0.0173
177,0.0019
178,0.0193
179,0.0435
180,0.0149
181,-0.0089
182,0.056
183,0.0407
184,0.1233
185,0.0566
186,0.0173
187,-0.005
188,-0.0227
189,0.028
190,0.0225
191,-0.2053
192,-0.014
193,0
194,1e-04
195,1e-04
196,5e-04
197,1e-04
198,4e-04
199,0
200,2e-04
202,4e-04
203,0.0139
204,-8e-04
205,-0.0011
206,0.0103
207,6e-04
208,9e-04
209,0.0277
210,0.0082
212,0
213,0
214,-0.008
215,0.3798
216,0
218,0.0898
219,0
220,0
221,0
222,0.0384
223,0.0405
224,-0.0768
227,0.0566
228,0
231,0
232,0.0495
237,0
244,0
245,0
247,0.0011
248,0
249,-0.0088
250,0
