rgn_id,pcgdp_cia
5,35700
6,3200
7,2500
8,15800
9,3800
10,12600
11,7200
13,33282.27205206196
14,32300
15,10400
16,60100
17,4300
18,14100
19,5800
20,50400
21,1700
24,7000
25,21700
28,3600
31,29200
37,27300
39,23400
40,13800
41,1500
42,1700
43,5800
44,1400
45,1600
46,6800
47,2500
48,36700
49,1900
50,62700
51,45400
52,59100
53,5500
54,68600
56,9900
59,63100
60,61700
61,12700
62,9100
64,6400
65,3000
66,4500
67,12300
68,60500
69,38900
70,41500
71,34100
72,40600
73,41700
74,25000
75,16300
77,4200
78,11300
79,47300
80,37800
81,53300
82,18900
84,15400
95,70800
96,3100
97,1700
98,2800
99,3900
100,6200
101,10300
102,13600
103,5500
104,15500
106,7100
108,105300
110,36200
111,33400
112,12300
113,78100
114,2800
115,24200
116,44175.734474276775
117,34200
119,31300
120,29600
122,24300
123,18700
124,19900
125,17700
126,31700
127,18700
129,36400
130,27000
131,7700
132,18500
133,6600
134,11700
135,22000
136,12600
137,13900
138,15700
139,7704
141,70400
143,65600
145,71000
147,18600
151,11200
152,6900
153,15600
154,11100
155,7100
156,6004
162,48200
163,75500
164,13300
166,10300
167,70300
168,19400
171,19600
172,26500
173,32000
174,55600
175,73700
176,62800
177,70900
178,45100
179,54500
180,52500
181,115300
182,48400
183,41900
184,53100
185,115700
186,27900
187,42600
188,48500
189,47200
190,110900
191,16200
192,12700
193,2700
194,4000
195,6700
196,5700
197,4900
198,18900
199,1500
200,7300
202,3700
203,9800
204,8500
205,5300
206,34100
207,14400
208,132600
209,24068.253294327398
210,46100
212,3300
214,16800
215,9500
216,14500
218,56700
220,45800
222,63300
223,91100
224,30200
227,56600
228,52500
231,4200
232,20400
244,27700
247,79200
250,40500
